video_id,titulo,descrição,data_publicacao,Visualizações,Likes,Comentários,Taxa de Engajamento,thumbnail_url,youtube_url
XXYlFuWEuKI,The Weeknd - Save Your Tears (Official Music Video),"Official music video by The Weeknd performing ""Save Your Tears""– 'After Hours' available everywhere now: http://theweeknd.co/afterhoursYD
 
►Subscribe to The Weeknd on YouTube: http://theweeknd.co/sub",2021-01-05,2000444306,10402419,327435,0.54,https://i.ytimg.com/vi/XXYlFuWEuKI/hqdefault.jpg,https://www.youtube.com/watch?v=XXYlFuWEuKI
JGwWNGJdvx8,Ed Sheeran - Shape of You (Official Music Video),"The official music video for Ed Sheeran - Shape Of You

Taken from the studio album ÷ (divide) released in 2017, which featured the hit singles 'Castle on the Hill', 'Shape of You', 'Galway Girl', ‘Pe",2017-01-30,6516909509,34588238,1207583,0.55,https://i.ytimg.com/vi/JGwWNGJdvx8/hqdefault.jpg,https://www.youtube.com/watch?v=JGwWNGJdvx8
tiPWzFLiz4A,Reneé Rapp - Leave Me Alone (Official Music Video),"Pre-order “BITE ME”, the new album from Reneé Rapp, out August 1: http://ReneeRapp.lnk.to/BITEME
Listen to “Leave Me Alone”: https://ReneeRapp.lnk.to/LeaveMeAlone
 
Follow Reneé Rapp:
TikTok: https://",2025-05-21,1825890,70126,2868,4.0,https://i.ytimg.com/vi/tiPWzFLiz4A/hqdefault.jpg,https://www.youtube.com/watch?v=tiPWzFLiz4A
euCqAq6BRa4,DJ Snake - Let Me Love You ft. Justin Bieber,"Listen to DJ Snake’s album Encore, out now on Spotify: http://smarturl.it/EncoreDJSnake.sp 

Sign up for updates from DJ Snake: http://smarturl.it/DJSnake.News

Music video by DJ Snake performing Let ",2016-11-29,1713357863,10860076,216329,0.65,https://i.ytimg.com/vi/euCqAq6BRa4/hqdefault.jpg,https://www.youtube.com/watch?v=euCqAq6BRa4
xkWQM3flsiY,Reneé Rapp - Mad (Official Music Video),"Pre-order “BITE ME”, the new album from Reneé Rapp, out August 1: http://ReneeRapp.lnk.to/BITEME
Listen to “Mad”: https://ReneeRapp.lnk.to/Mad
Get tickets to the BITE ME Tour: http://reneerapp.com/tou",2025-06-27,1198330,38692,1100,3.32,https://i.ytimg.com/vi/xkWQM3flsiY/hqdefault.jpg,https://www.youtube.com/watch?v=xkWQM3flsiY
JgDNFQ2RaLQ,Ed Sheeran - Sapphire (Official Music Video),"Listen to 'Sapphire' now: https://es.lnk.to/sapphireID

""Sapphire was the first song I finished for Play that made me know where the album was heading. It's why I finished the recording process in Goa",2025-06-05,116063534,3389620,130244,3.03,https://i.ytimg.com/vi/JgDNFQ2RaLQ/hqdefault.jpg,https://www.youtube.com/watch?v=JgDNFQ2RaLQ
OPf0YbXqDm0,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,"Official Video for Uptown Funk by Mark Ronson ft. Bruno Mars
Listen to Mark Ronson: https://MarkRonson.lnk.to/listenYD
Subscribe to the official Mark Ronson: https://MarkRonson.lnk.to/subscribeYD

Wat",2014-11-19,5612514933,22769261,640728,0.42,https://i.ytimg.com/vi/OPf0YbXqDm0/hqdefault.jpg,https://www.youtube.com/watch?v=OPf0YbXqDm0
zABLecsR5UE,Lewis Capaldi - Someone You Loved,"listen to my music: https://bio.to/LewisCapaldi 
sign up for news: https://lewiscapaldi.os.fan/signup

Follow Lewis Capaldi for more
Instragram: https://www.instagram.com/lewiscapaldi
Facebook: https:",2019-08-29,1076699601,10302973,197567,0.98,https://i.ytimg.com/vi/zABLecsR5UE/hqdefault.jpg,https://www.youtube.com/watch?v=zABLecsR5UE
3AtDnEC4zak,Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],"Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]
From Charlie's debut album Nine Track Mind!
Download/Stream: https://Atlantic.lnk.to/NineTrackMindID 

Exclusive Nine Track M",2016-08-02,3351671848,15452389,427742,0.47,https://i.ytimg.com/vi/3AtDnEC4zak/hqdefault.jpg,https://www.youtube.com/watch?v=3AtDnEC4zak
uvY8fdgezLQ,Zara Larsson - Midnight Sun (Official Music Video),"Zara Larsson - Midnight Sun (Official Music Video)

""Midnight Sun"" available at: https://ZaraLarsson.lnk.to/MidnightSunSingle

Follow Zara Larsson: 
http://www.instagram.com/zaralarsson 
https://www.f",2025-06-24,2042957,65510,2724,3.34,https://i.ytimg.com/vi/uvY8fdgezLQ/hqdefault.jpg,https://www.youtube.com/watch?v=uvY8fdgezLQ
